Frame,BodyID,PointID,X_mm,Y_mm,Z_mm,ShoulderOpening_deg,ShoulderInclination_deg,Elbow_deg
3,0,19,81.2,-446.78,57.34,64.33,64.51,75.87
3,0,20,86.74,-846.58,68.92,64.33,64.51,75.87
3,0,21,37.65,-944.07,180.66,64.33,64.51,75.87
3,0,22,-78.64,-2.72,-36.4,64.33,64.51,75.87
3,0,23,-76.07,-452.23,-15.46,64.33,64.51,75.87
3,0,24,-70.53,-852.02,-3.87,64.33,64.51,75.87
3,0,25,-119.63,-949.52,107.86,64.33,64.51,75.87
3,0,26,-85.31,524.74,65.01,64.33,64.51,75.87
3,0,27,-98.55,566.18,79.61,64.33,64.51,75.87
3,0,28,-67.91,608.95,86.98,64.33,64.51,75.87
3,0,29,28.59,627.26,56.15,64.33,64.51,75.87
3,0,30,-108.59,609.03,49.86,64.33,64.51,75.87
3,0,31,-86.67,627.49,-49.01,64.33,64.51,75.87
3,0,32,104.96,-947.34,35.54,64.33,64.51,75.87
3,0,33,-52.32,-952.79,-37.26,64.33,64.51,75.87
4,0,0,0.0,0.0,0.0,64.74,63.96,75.02
4,0,1,-1.55,143.93,-5.09,64.74,63.96,75.02
4,0,2,-3.91,287.83,-10.51,64.74,63.96,75.02
4,0,3,-6.27,431.74,-15.93,64.74,63.96,75.02
4,0,4,24.53,433.94,8.47,64.74,63.96,75.02
4,0,5,114.12,438.09,79.53,64.74,63.96,75.02
4,0,6,47.83,231.99,124.17,64.74,63.96,75.02
4,0,7,-13.19,32.28,163.78,64.74,63.96,75.02
4,0,8,-25.4,-7.66,171.71,64.74,63.96,75.02
4,0,9,-49.8,-87.54,187.55,64.74,63.96,75.02
4,0,10,-75.66,-42.64,146.03,64.74,63.96,75.02
4,0,11,-37.1,431.09,-40.4,64.74,63.96,75.02
4,0,12,-126.69,426.94,-111.46,64.74,63.96,75.02
4,0,13,-256.24,266.91,-31.02,64.74,63.96,75.02
4,0,14,-208.34,472.81,-8.94,64.74,63.96,75.02
4,0,15,-198.76,513.99,-4.52,64.74,63.96,75.02
4,0,16,-179.59,596.35,4.31,64.74,63.96,75.02
4,0,17,-153.16,543.14,33.96,64.74,63.96,75.02
4,0,18,78.51,2.16,37.1,64.74,63.96,75.02
4,0,19,81.18,-447.57,52.57,64.74,63.96,75.02
4,0,20,86.14,-847.45,60.82,64.74,63.96,75.02
4,0,21,36.08,-945.82,171.35,64.74,63.96,75.02
4,0,22,-78.51,-2.16,-37.1,64.74,63.96,75.02
4,0,23,-75.84,-451.89,-21.64,64.74,63.96,75.02
4,0,24,-70.87,-851.77,-13.38,64.74,63.96,75.02
4,0,25,-120.94,-950.14,97.15,64.74,63.96,75.02
4,0,26,-83.97,529.85,71.15,64.74,63.96,75.02
